chat_gender,resp_gender,resp_age,chat_voiced,chat_usage,ai_perception,resp_language
Definitely Male,Male,15-20,"No, only in a text box",Weekly,Slightly Positive,English
Neutral / No gender,Male,31-40,"No, only in a text box",Monthly,Slightly Positive,Croatian
Neutral / No gender,Female,41-60,"No, only in a text box",Weekly,Slightly Positive,English
Probably Female,Male,15-20,"No, only in a text box",Daily,Positive,English
Leaning Male,Male,15-20,"No, only in a text box",Weekly,Neutral,English 
Leaning Male,Female,21-30,,Never,Negative,English
Neutral / No gender,Male,31-40,"Yes, with a female voice",Monthly,Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Never,Negative,English
Definitely Male,Non-binary/Other,31-40,"Yes, with a male voice",Weekly,Negative,English
Probably Male,Male,15-20,"No, only in a text box",Less than once a month,Strongly Positive,English
Leaning Female,Male,21-30,"No, only in a text box",Daily,Strongly Positive,English
Neutral / No gender,Female,21-30,"No, only in a text box",Monthly,Positive,English
Definitely Male,Female,41-60,"No, only in a text box",Daily,Positive,English
Probably Male,Female,15-20,"No, only in a text box",Monthly,Positive,French
Neutral / No gender,Male,15-20,"No, only in a text box",Less than once a month,Strongly Positive,English
Neutral / No gender,Female,15-20,"No, only in a text box",Monthly,Slightly Positive,English
Neutral / No gender,Male,21-30,"No, only in a text box",Daily,Strongly Positive,German
Probably Male,Female,15-20,"No, only in a text box",Weekly,Positive,English
Leaning Male,Male,31-40,"No, only in a text box",Weekly,Positive,Spanish
Leaning Male,Female,15-20,"No, only in a text box",Less than once a month,Strongly Negative,English
Neutral / No gender,Male,15-20,"No, only in a text box",Less than once a month,Negative,English
Definitely Male,Male,21-30,"No, only in a text box",Daily,Positive,German
Neutral / No gender,Female,15-20,"No, only in a text box",Less than once a month,Positive,English
Leaning Female,Male,15-20,"No, only in a text box",Daily,Positive,English
Neutral / No gender,Male,21-30,"Yes, with a female voice",Daily,Positive,German
Neutral / No gender,Male,31-40,"No, only in a text box",Daily,Slightly Positive,Filipino
Leaning Female,Female,21-30,"No, only in a text box",Less than once a month,Slightly Positive,English
Neutral / No gender,Male,41-60,"No, only in a text box",Daily,Strongly Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Monthly,Positive,English
Neutral / No gender,Male,31-40,"No, only in a text box",Daily,Strongly Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Monthly,Positive,English
Definitely Male,Female,41-60,"No, only in a text box",Weekly,Slightly Positive,English
Probably Male,Male,21-30,"No, only in a text box",Monthly,Positive,Lithuanian
Definitely Female,Female,15-20,"No, only in a text box",Daily,Strongly Positive,English
Neutral / No gender,Female,41-60,"No, only in a text box",Monthly,Slightly Positive,English
Neutral / No gender,Non-binary/Other,15-20,"No, only in a text box",Monthly,Slightly Negative,English
Probably Female,Female,15-20,"No, only in a text box",Daily,Slightly Positive,English
Leaning Male,Non-binary/Other,15-20,"No, only in a text box",Monthly,Strongly Negative,English
Neutral / No gender,Female,41-60,"No, only in a text box",Less than once a month,Positive,English
Leaning Male,Female,15-20,"No, only in a text box",Weekly,Positive,French
Definitely Male,Female,41-60,"No, only in a text box",Weekly,Positive,German
Leaning Male,Female,15-20,"No, only in a text box",Daily,Strongly Positive,English
Leaning Male,Male,15-20,"No, only in a text box",Less than once a month,Slightly Positive,English
Probably Male,Female,15-20,"No, only in a text box",Weekly,Slightly Positive,English
Neutral / No gender,Female,41-60,"No, only in a text box",Less than once a month,Slightly Positive,English
Neutral / No gender,Male,21-30,"No, only in a text box",Daily,Strongly Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Daily,Positive,English
Probably Female,Female,31-40,"No, only in a text box",Weekly,Strongly Positive,French
Neutral / No gender,Female,15-20,"No, only in a text box",Monthly,Positive,English
Probably Male,Female,31-40,"No, only in a text box",Monthly,Neutral,English
Definitely Male,Female,31-40,"No, only in a text box",Monthly,Slightly Positive,English
Definitely Male,Female,21-30,,Monthly,Slightly Positive,English
Leaning Female,Female,15-20,"No, only in a text box",Monthly,Neutral,English
Probably Female,Male,21-30,"Yes, with a female voice",Daily,Strongly Positive,English
Leaning Male,Male,15-20,,Daily,Positive,English
Leaning Male,Male,21-30,"No, only in a text box",Less than once a month,Slightly Positive,English
Leaning Female,Male,21-30,"No, only in a text box",Monthly,Slightly Positive,English
Leaning Male,Non-binary/Other,15-20,"No, only in a text box",Less than once a month,Negative,English
Probably Male,Male,15-20,"No, only in a text box",Monthly,Slightly Positive,French
Probably Male,Male,21-30,"No, only in a text box",Weekly,Positive,English
Leaning Female,Female,31-40,"No, only in a text box",Daily,Positive,Hungarian
Probably Male,Female,15-20,"No, only in a text box",Less than once a month,Neutral,English
Neutral / No gender,Male,31-40,"Yes, with a female voice",Weekly,Strongly Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Weekly,Positive,English
Neutral / No gender,Male,41-60,"No, only in a text box",Weekly,Neutral,English
Definitely Male,Male,15-20,"Yes, with a male voice",Less than once a month,,English
Neutral / No gender,Male,15-20,"No, only in a text box",Daily,Positive,English
Definitely Male,Female,15-20,"No, only in a text box",Less than once a month,Slightly Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Weekly,Strongly Positive,English
Leaning Male,Female,41-60,"No, only in a text box",Monthly,Slightly Positive,English
Leaning Male,Male,15-20,"No, only in a text box",Daily,Positive,English
Probably Female,Male,41-60,"Yes, with a female voice",Daily,Positive,English
Neutral / No gender,Male,21-30,,Less than once a month,Positive,English
Leaning Female,Male,15-20,"Yes, with a female voice",Daily,Positive,English
Leaning Female,Female,41-60,"No, only in a text box",Monthly,Slightly Positive,English
Definitely Male,Male,31-40,"No, only in a text box",Weekly,Strongly Positive,English
Neutral / No gender,Female,15-20,"No, only in a text box",Monthly,Slightly Positive,English
Leaning Male,Male,15-20,,Weekly,Strongly Positive,English
Probably Female,Male,15-20,"No, only in a text box",Less than once a month,Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Weekly,Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Monthly,Slightly Positive,English
Definitely Male,Female,<15,,Never,Slightly Negative,French
Probably Male,Female,21-30,"No, only in a text box",Daily,Positive,English
Leaning Male,Female,15-20,"No, only in a text box",Monthly,Slightly Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Less than once a month,Neutral,English
Leaning Male,Female,15-20,"No, only in a text box",Daily,Positive,English
Neutral / No gender,Male,21-30,"No, only in a text box",Monthly,Slightly Positive,English
Neutral / No gender,Male,21-30,"No, only in a text box",Daily,Slightly Positive,English
Definitely Male,Female,41-60,"No, only in a text box",Weekly,Strongly Positive,English
Neutral / No gender,Female,41-60,"No, only in a text box",Weekly,Positive,English
Probably Male,Female,15-20,"No, only in a text box",Daily,Positive,English
Leaning Male,Female,21-30,"No, only in a text box",Weekly,Strongly Positive,French
Neutral / No gender,Male,21-30,"No, only in a text box",Weekly,Strongly Positive,Thai
Neutral / No gender,Female,>60,"No, only in a text box",Weekly,Positive,English
Leaning Male,Female,21-30,"No, only in a text box",Weekly,Slightly Negative,Russian 
Neutral / No gender,Male,15-20,"No, only in a text box",Daily,Positive,English
Leaning Male,Female,41-60,"No, only in a text box",Less than once a month,Slightly Positive,English
Neutral / No gender,Male,21-30,"No, only in a text box",Never,Slightly Positive,English
Leaning Male,Female,41-60,"No, only in a text box",Weekly,Neutral,English
Neutral / No gender,Male,31-40,"No, only in a text box",Weekly,Strongly Positive,English
Neutral / No gender,Female,15-20,"No, only in a text box",Never,Neutral,English
Neutral / No gender,Non-binary/Other,15-20,,Less than once a month,Slightly Positive,English
Definitely Female,Male,15-20,"No, only in a text box",Never,Slightly Positive,English
Neutral / No gender,Female,21-30,"No, only in a text box",Weekly,Neutral,English
Neutral / No gender,Male,31-40,"No, only in a text box",Daily,Slightly Positive,English
Neutral / No gender,Prefer not to say,,,,,
Neutral / No gender,Female,31-40,"No, only in a text box",Monthly,Positive,Spanish
Leaning Male,Male,15-20,,Weekly,Positive,English
Leaning Male,Male,15-20,,Monthly,Positive,English
Leaning Female,Female,15-20,"No, only in a text box",Less than once a month,Slightly Positive,English
Neutral / No gender,Female,21-30,"No, only in a text box",Daily,Positive,English
Neutral / No gender,Male,<15,"No, only in a text box",Weekly,Strongly Positive,French
Definitely Female,Male,15-20,"No, only in a text box",Monthly,Neutral,English
Neutral / No gender,Female,31-40,"No, only in a text box",Monthly,Positive,Portuguese 
Neutral / No gender,Non-binary/Other,31-40,"No, only in a text box",Weekly,Strongly Positive,English
Definitely Male,Male,31-40,"No, only in a text box",Daily,Strongly Positive,English
Leaning Female,Male,15-20,"No, only in a text box",Daily,Positive,English
Leaning Male,Male,21-30,"No, only in a text box",Monthly,Neutral,French
Neutral / No gender,Non-binary/Other,21-30,"No, only in a text box",Daily,Slightly Positive,English
Leaning Male,Female,15-20,,Weekly,Positive,English
Neutral / No gender,Female,15-20,"No, only in a text box",Monthly,Slightly Positive,English
Neutral / No gender,Male,21-30,"No, only in a text box",Weekly,Strongly Positive,Czech
Definitely Male,Male,21-30,"No, only in a text box",Weekly,Positive,French
Probably Male,Female,21-30,"No, only in a text box",Weekly,Positive,Dutch
Neutral / No gender,Male,15-20,"No, only in a text box",Weekly,Positive,English
Neutral / No gender,Male,31-40,"No, only in a text box",Daily,Positive,English
Leaning Female,Non-binary/Other,15-20,"No, only in a text box",Weekly,Slightly Negative,English
Neutral / No gender,Male,15-20,"No, only in a text box",Monthly,Positive,English
Neutral / No gender,Male,31-40,"Yes, with a female voice",Daily,Strongly Positive,English
Neutral / No gender,Male,31-40,"No, only in a text box",Monthly,Positive,German
Leaning Male,Male,15-20,"No, only in a text box",Weekly,Slightly Negative,English
Leaning Female,Female,21-30,"No, only in a text box",Weekly,Slightly Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Weekly,Strongly Positive,English
Neutral / No gender,Female,15-20,"No, only in a text box",Daily,Positive,English
Definitely Female,Non-binary/Other,<15,"Yes, with a female voice",Daily,Negative,German
Neutral / No gender,Male,15-20,"No, only in a text box",Daily,Slightly Negative,Mandarin
Definitely Male,Female,15-20,"No, only in a text box",Monthly,Slightly Positive,English
Neutral / No gender,Female,15-20,"No, only in a text box",Weekly,Slightly Negative,English
Neutral / No gender,Male,21-30,"No, only in a text box",Weekly,Strongly Positive,English
Leaning Male,Male,41-60,"No, only in a text box",Daily,Positive,French
Probably Male,Male,41-60,"No, only in a text box",Daily,Strongly Negative,English
Neutral / No gender,Female,21-30,"No, only in a text box",Daily,Strongly Positive,English
Leaning Male,Female,21-30,"No, only in a text box",Never,Slightly Negative,English
Neutral / No gender,Prefer not to say,31-40,,Daily,Strongly Positive,German
Leaning Male,Male,21-30,"No, only in a text box",Monthly,Positive,English
Neutral / No gender,Male,41-60,"No, only in a text box",Weekly,Positive,English
Probably Male,Female,15-20,"No, only in a text box",Monthly,Neutral,English
Neutral / No gender,Male,21-30,"No, only in a text box",Weekly,Positive,Spanish
Neutral / No gender,Female,15-20,"No, only in a text box",Weekly,Slightly Positive,English
Probably Female,Female,>60,"No, only in a text box",Less than once a month,Slightly Positive,English
Probably Male,Male,15-20,"No, only in a text box",Less than once a month,Neutral,French
Probably Female,Male,41-60,"No, only in a text box",Daily,Strongly Positive,Portuguese
Probably Female,Female,15-20,,Less than once a month,Neutral,French
Neutral / No gender,Male,21-30,"No, only in a text box",Weekly,Positive,English
Leaning Male,Female,41-60,"No, only in a text box",Weekly,Slightly Positive,English
Neutral / No gender,Non-binary/Other,15-20,"No, only in a text box",Monthly,Slightly Negative,Thai
Neutral / No gender,Female,31-40,"Yes, with a female voice",Daily,Strongly Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Weekly,Strongly Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Weekly,Positive,English
Probably Male,Male,41-60,"Yes, with a male voice",Daily,Neutral,English
Leaning Male,Non-binary/Other,31-40,"No, only in a text box",Monthly,Positive,English
Definitely Male,Female,15-20,,Less than once a month,Slightly Negative,English
Probably Male,Male,21-30,"No, only in a text box",Weekly,Positive,English
Leaning Female,Male,21-30,"No, only in a text box",Weekly,Positive,English
Leaning Female,Male,15-20,"No, only in a text box",Monthly,Positive,English
Leaning Male,Female,15-20,"No, only in a text box",Monthly,Slightly Positive,English
Definitely Male,Male,41-60,"Yes, with a male voice",Weekly,Strongly Positive,English
Definitely Male,Male,31-40,"No, only in a text box",Daily,Positive,English
Leaning Male,Female,41-60,"No, only in a text box",Less than once a month,Positive,English
Leaning Male,Female,15-20,"No, only in a text box",Less than once a month,Neutral,English
Neutral / No gender,Male,21-30,"Yes, with a female voice",Less than once a month,Positive,English
Neutral / No gender,Female,41-60,"No, only in a text box",Monthly,Positive,English
Definitely Male,Female,15-20,"No, only in a text box",Never,Slightly Negative,English
Probably Male,Male,15-20,"No, only in a text box",Monthly,Positive,English
Neutral / No gender,Female,41-60,"No, only in a text box",Less than once a month,Neutral,English
Definitely Male,Female,41-60,"No, only in a text box",Less than once a month,Slightly Negative,English
Neutral / No gender,Male,41-60,"No, only in a text box",Daily,Positive,Danish
Leaning Male,Non-binary/Other,15-20,,Less than once a month,Slightly Negative,English
Probably Male,Female,21-30,,Less than once a month,Slightly Negative,English
Neutral / No gender,Female,15-20,"No, only in a text box",Weekly,Positive,English
Neutral / No gender,Female,>60,"No, only in a text box",Less than once a month,Slightly Negative,English
Probably Male,Male,21-30,"No, only in a text box",Daily,Strongly Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Weekly,Strongly Positive,English
Leaning Male,Male,15-20,"No, only in a text box",Daily,Positive,German
Neutral / No gender,Male,31-40,"No, only in a text box",Weekly,Slightly Positive,Spanish
Definitely Male,Female,41-60,"No, only in a text box",Weekly,Positive,English
Leaning Female,Female,31-40,"No, only in a text box",Less than once a month,Positive,English
Neutral / No gender,Male,15-20,"No, only in a text box",Monthly,Slightly Positive,French
Neutral / No gender,Female,21-30,"No, only in a text box",Monthly,Positive,English
Neutral / No gender,Male,21-30,"No, only in a text box",Monthly,Strongly Positive,English
Neutral / No gender,Female,15-20,"No, only in a text box",Daily,Positive,English
Neutral / No gender,Female,21-30,"Yes, with a female voice",Monthly,Positive,French
Neutral / No gender,Male,31-40,"Yes, with a male voice",Daily,Strongly Positive,English
Probably Female,Male,15-20,"No, only in a text box",Monthly,Slightly Positive,English
Neutral / No gender,Male,31-40,"No, only in a text box",Weekly,Positive,English
Neutral / No gender,Female,15-20,"No, only in a text box",Weekly,Positive,English
Leaning Male,Male,15-20,"No, only in a text box",Daily,Positive,English
Neutral / No gender,Male,21-30,"No, only in a text box",Never,Neutral,English
Neutral / No gender,Male,31-40,"Yes, with a male voice",Daily,Positive,French
Neutral / No gender,Male,21-30,"No, only in a text box",Never,Strongly Negative,English
Definitely Female,Male,31-40,"No, only in a text box",Daily,Strongly Positive,Spanish
Leaning Female,Male,21-30,"No, only in a text box",Weekly,Slightly Negative,English
Neutral / No gender,Male,15-20,"No, only in a text box",Less than once a month,Slightly Positive,English
Neutral / No gender,Male,21-30,"Yes, with a female voice",Daily,Strongly Positive,Hindi
Probably Female,Male,31-40,"Yes, with a female voice",Less than once a month,Neutral,English
Neutral / No gender,Male,15-20,"Yes, with a male voice",Daily,Positive,English
Leaning Male,Male,15-20,"No, only in a text box",Never,Neutral,English
Leaning Female,Female,41-60,"No, only in a text box",Less than once a month,Slightly Positive,French
Neutral / No gender,Male,31-40,"Yes, with a male voice",Daily,Positive,Estonian
Neutral / No gender,Male,31-40,"No, only in a text box",Monthly,Positive,English
Definitely Female,Female,15-20,"No, only in a text box",Monthly,Neutral,English
Neutral / No gender,Non-binary/Other,31-40,"No, only in a text box",Less than once a month,Slightly Positive,English
Probably Male,Male,21-30,"Yes, with a male voice",Weekly,Strongly Positive,Spanish
